name,id,latitude,longitude,zipcode,rating,url
Silver Towers,YtgeRRxVlxSzwu-zGUiXVA,40.76085065,-73.99916414,10036,3.5,https://s3-media1.fl.yelpcdn.com/bphoto/VMIC9hYpPjwRCca8KY1VNw/o.jpg
The Solaire,Y3JziUJWQzxoBVd0ND4JHg,40.716602,-74.016106,10282,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/9MU9WAFVyU_UwGV-Uz_aQQ/o.jpg
The Caroline,ZhqPFCi5ifllWIXFsXPuUw,40.74252,-73.9923,10010,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/0bPSfOViiQQ1lwTMBoMVNQ/o.jpg
60 Water Street Apartments,5U5zCdgu2AFymbYSh-LBPQ,40.71424,-74.00642,11201,2.5,https://s3-media3.fl.yelpcdn.com/bphoto/86cA6vMdmeiRbP8dWcOrHw/o.jpg
Skygroup,kIDXvYZiTW4W5IJVt7RqvQ,40.7168007,-74.0035172,10013,5,https://s3-media3.fl.yelpcdn.com/bphoto/4rbpevveNn59UmLdcU_soA/o.jpg
Modera Lofts,W2zIfB-TYIIzUnGlcjN4VQ,40.720073,-74.037837,7302,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/s49PIN2tshC82XjbIZ3nZw/o.jpg
777 6th Avenue Apartments,gyUGNfrD8j8KVXEn1ptVSA,40.74525,-73.9915,10001,3.5,https://s3-media1.fl.yelpcdn.com/bphoto/1_I6n8I6c7PZuzk_t_mRKA/o.jpg
REAL New York,IXsN3lo71vG5T1-vVcKwfQ,40.7204931,-73.98816101,10002,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/08x9bki_QHX5R7aIkxvwAA/o.jpg
Waterline Square Luxury Rentals,tnZFytj6s73oroL3NCybwg,40.77321,-73.9907,10069,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/uCUahobpVApU76YPfIWs7g/o.jpg
Cooper & Cooper Real Estate,xRwyg-n2f9jim5r2naHrIw,40.7513773,-73.9924884,10119,5,https://s3-media3.fl.yelpcdn.com/bphoto/EM6HJ4CUxnrBAMpkbZUVNQ/o.jpg
