uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
63,88 Leonard,https://s3-media3.fl.yelpcdn.com/bphoto/aL8Pc15qRRoiZDKKpgWw4A/o.jpg,40.7170753,-74.004833,10013,4,194,1833,1.5,3.545781292,2.114693328,2.83023731,30,70.91562584,42.29386655
64,Beatrice Apartments,https://s3-media4.fl.yelpcdn.com/bphoto/Y-HurZR9i_JhFqHMuBbL9g/o.jpg,40.74687,-73.99032,10001,4,146,2875,3.296273002,3.991992046,2.082551556,3.037271801,65.92546003,79.83984092,41.65103112
65,325 Kent,https://s3-media4.fl.yelpcdn.com/bphoto/RXznhv9Ytmy5kKgXo49aVw/o.jpg,40.7134336,-73.9671576,11249,3,39,975,2.129158088,3.644148279,0.538601218,2.091374748,42.58316175,72.88296558,10.77202435
66,London Terrace,https://s3-media2.fl.yelpcdn.com/bphoto/2fsXbAaALFoU0rtCpHNf9A/o.jpg,40.74751948,-74.00204122,10011,3.5,150,2589.968736,3.93540736,3.842000213,1.754636853,2.798318533,78.70814719,76.84000426,35.09273705
67,Avalon Riverview,https://s3-media3.fl.yelpcdn.com/bphoto/-NR75UZ18TU-J6cfYYsC6Q/o.jpg,40.74537,-73.95807,11109,3.5,142,900,3.296273002,3.504398234,1.524166587,2.514282411,65.92546003,70.08796468,30.48333174
68,Brick & Mortar,https://s3-media1.fl.yelpcdn.com/bphoto/sZB3a4kRRCnn8WyYyJedRA/o.jpg,40.7183971,-73.9583791,11249,4.5,140,1331.666667,3.483845042,3.728868873,3.838164068,3.783516471,69.67690083,74.57737746,76.76328136
69,21 West End,https://s3-media4.fl.yelpcdn.com/bphoto/9UGpmMxHWdcGm3XjNIvKRQ/o.jpg,40.77301145,-73.99054635,10069,4,90,1100,3.212907651,3.504814048,1.103231487,2.304022767,64.25815301,70.09628095,22.06462973
70,DVORA Art House,https://s3-media2.fl.yelpcdn.com/bphoto/VYv9SgtuTtdqG_ntiqOzww/o.jpg,40.72159822,-74.0398809,7302,4,84,883.3333333,1.5,1.38081613,2.904446183,2.142631156,30,27.6163226,58.08892365
71,One Hudson Yards,https://s3-media1.fl.yelpcdn.com/bphoto/OePThhU_sXp8lT1XpQ09Ew/o.jpg,40.75255,-74.00273,10001,4.5,150,1400,3.93540736,2.458124027,2.927602661,2.692863344,78.70814719,49.16248054,58.55205321
72,Herald Towers,https://s3-media2.fl.yelpcdn.com/bphoto/gFJtMJxeoLWhNAyDaKLJnw/o.jpg,40.74916,-73.98701,10001,3,98,1600,1.858220697,2.02073265,1.636109532,1.828421091,37.16441394,40.41465299,32.72219064
