,name,latitude,longitude,zipcode,rating,categories,transactions,cluster,centroids
85,Burrow,40.7027217,-73.9868878,11201,4.5,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",['delivery'],80,0
86,Peaches HotHouse,40.68336997,-73.94377984,11216,4,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","['pickup', 'delivery']",163,0
87,A&A Bake and Double and Roti Shop,40.68043,-73.94795,11216,4.5,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'trinidadian', 'title': 'Trinidadian'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",[],163,0
88,Pueblo Querido,40.71957104,-73.96326007,11249,5,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",['delivery'],140,0
89,Sofreh,40.6798617,-73.973984,11217,4,"[{'alias': 'persian', 'title': 'Persian/Iranian'}]",['delivery'],134,0
90,Place des F?tes,40.68691,-73.96289,11238,5,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",[],113,0
91,Nite Nite,40.70785,-73.94476,11206,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",['delivery'],193,0
92,Taqueria Tepango,40.6937857,-73.9616331,11205,4,"[{'alias': 'mexican', 'title': 'Mexican'}]",['delivery'],11,0
93,Yamadaya,40.73501,-73.99808,10011,4.5,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}, {'alias': 'accessories', 'title': 'Accessories'}, {'alias': 'intlgrocery', 'title': 'International Grocery'}]",[],77,0
94,Rolo's,40.70195477,-73.903537,11385,4.5,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",[],130,0
95,Chez Ma Tante,40.72689661,-73.95740361,11222,4.5,"[{'alias': 'newamerican', 'title': 'American (New)'}]",['delivery'],124,0
96,Koko?? ,40.71114001,-73.94830304,11211,5,"[{'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'peruvian', 'title': 'Peruvian'}]","['pickup', 'delivery']",193,0
97,The Rice Noodle,40.729087,-74.001525,10012,4,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chinese', 'title': 'Chinese'}]","['pickup', 'delivery']",33,0
98,Tacos El Bronco,40.65006,-74.00915,11220,4,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",['delivery'],8,0
99,The 99 Cent Taco Truck,40.790896,-73.9451536,10029,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",[],115,1
100,The Rice Noodle,40.729087,-74.001525,10012,4,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chinese', 'title': 'Chinese'}]","['pickup', 'delivery']",33,0
101,Tacos El Bronco,40.65006,-74.00915,11220,4,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",['delivery'],8,0
